Interference and Diffraction Data File Mon, Apr 1, 2024 6:16 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	4.79887
0.00000	4.80338
0.00000	4.80306
0.00000	4.80306
0.00000	4.80080
0.00000	4.80257
0.00000	4.80580
0.00000	4.79661
0.00000	4.79887
0.00000	4.80612
0.00000	4.80660
0.00000	4.79983
0.00000	4.80177
0.00000	4.80644
0.00000	4.79951
0.00000	4.80096
0.00000	4.80209
0.00000	4.80273
0.00000	4.80048
0.00000	4.80145
0.00000	4.80290
0.00000	4.80064
0.00000	4.80370
0.00000	4.80241
0.00000	4.80370
0.00000	4.80563
0.00000	4.80708
0.00000	4.80080
0.00000	4.79758
0.00000	4.80483
0.00000	4.79871
0.00000	4.80064
0.00000	4.79935
0.00000	4.79726
0.00000	4.80128
0.00000	4.80128
0.00000	4.80725
0.00000	4.80322
0.00000	4.80547
0.00000	4.80354
0.00000	4.79532
0.00000	4.80080
0.00000	4.80386
0.00000	4.80483
0.00000	4.80161
0.00000	4.80064
0.00000	4.80580
0.00000	4.80322
0.00000	4.80064
0.00000	4.80145
0.00000	4.80418
0.00000	4.80032
0.00000	4.80000
0.00000	4.80128
0.00000	4.80209
0.00000	4.80451
0.00000	4.79935
0.00000	4.80209
0.00000	4.80692
0.00000	4.80354
0.00000	4.80273
0.00000	4.79710
0.00000	4.80193
0.00000	4.79758
0.00000	4.79871
0.00000	4.80128
0.00000	4.80418
0.00000	4.80241
0.00000	4.80112
0.00000	4.80483
0.00000	4.80257
0.00000	4.80241
0.00000	4.80306
0.00000	4.80048
0.00000	4.80177
0.00000	4.80145
0.00000	4.80241
0.00000	4.79694
0.00000	4.79645
0.00000	4.80000
0.00000	4.80145
0.00000	4.80128
0.00000	4.79871
0.00000	4.80096
0.00000	4.79822
0.00000	4.80193
0.00000	4.80257
0.00000	4.80273
0.00000	4.80241
0.00000	4.80757
0.00000	4.79935
0.00000	4.80435
0.00000	4.80241
0.00000	4.80096
0.00000	4.80531
0.00000	4.80273
0.00000	4.80370
0.00000	4.80225
0.00000	4.80499
0.00000	4.80773
0.00000	4.80596
0.00000	4.80096
0.00000	4.80418
0.00000	4.80418
0.00000	4.80112
0.00000	4.79983
0.00000	4.80000
0.00000	4.80112
0.00000	4.80354
0.00000	4.80580
0.00000	4.79774
0.00000	4.80209
0.00000	4.80161
0.00000	4.80306
0.00000	4.80016
0.00000	4.80451
0.00000	4.80112
0.00000	4.79935
0.00000	4.80273
0.00000	4.80257
0.00000	4.80660
0.00000	4.79951
0.00000	4.80451
0.00000	4.80467
0.00000	4.80322
0.00000	4.80354
0.00000	4.79839
0.00000	4.80257
0.00000	4.80418
0.00000	4.79903
0.00000	4.79887
0.00000	4.80483
0.00000	4.79806
0.00000	4.80241
0.00000	4.80064
0.00000	4.80080
0.00000	4.79597
0.00000	4.80418
0.00000	4.79855
0.00000	4.80257
0.00000	4.80257
0.00000	4.80177
0.00000	4.79903
0.00000	4.79839
0.00000	4.80096
0.00000	4.79806
0.00000	4.80483
0.00000	4.80467
0.00000	4.79677
0.00000	4.80531
0.00000	4.80161
0.00000	4.80016
0.00000	4.80644
0.00000	4.79597
0.00000	4.81321
0.00000	4.79661
0.00000	4.79822
0.00000	4.80257
0.00000	4.80306
0.00000	4.80000
0.00000	4.79967
0.00000	4.80257
0.00000	4.80612
0.00000	4.80193
0.00000	4.80145
0.00000	4.80435
0.00000	4.79887
0.00000	4.80145
0.00000	4.80048
0.00000	4.80209
0.00000	4.79967
0.00000	4.80418
0.00000	4.79887
0.00000	4.80322
0.00000	4.80016
0.00000	4.80145
0.00000	4.80402
0.00000	4.80177
0.00000	4.80128
0.00000	4.80209
0.00000	4.79822
0.00000	4.79822
0.00000	4.80241
0.00000	4.79758
0.00000	4.80128
0.00000	4.80112
0.00000	4.80128
0.00000	4.80273
0.00000	4.80257
0.00000	4.80580
0.00000	4.80290
0.00000	4.80161
0.00000	4.80209
0.00000	4.80547
0.00000	4.79935
0.00000	4.79935
0.00000	4.80257
0.00000	4.80708
0.00000	4.80531
0.00000	4.79645
0.00000	4.80177
0.00000	4.80483
0.00000	4.80354
0.00000	4.80435
0.00000	4.80370
0.00000	4.80386
0.00000	4.79983
0.00000	4.80612
0.00000	4.80161
0.00000	4.80418
0.00000	4.79967
0.00000	4.80032
0.00000	4.80145
0.00000	4.80676
0.00000	4.80580
0.00000	4.80386
0.00000	4.80563
0.00000	4.80128
0.00000	4.80193
0.00000	4.79951
0.00000	4.79613
0.00000	4.79742
0.00000	4.80048
0.00000	4.79694
0.00000	4.80193
0.00000	4.79613
0.00000	4.80306
0.00000	4.80177
0.00000	4.79774
0.00000	4.80096
0.00000	4.80032
0.00000	4.79935
0.00000	4.80354
0.00000	4.80435
0.00000	4.79726
0.00000	4.79146
0.00000	4.80596
0.00000	4.80273
0.00000	4.79694
0.00000	4.80499
0.00000	4.80499
0.00000	4.79822
0.00000	4.80402
0.00000	4.80032
0.00000	4.80128
0.00000	4.80257
0.00000	4.80676
0.00000	4.80290
0.00000	4.80016
0.00000	4.80161
0.00000	4.80644
0.00000	4.80048
0.00000	4.80435
0.00000	4.80306
0.00000	4.80161
0.00000	4.80161
0.00000	4.80306
0.00000	4.80435
0.00000	4.80128
0.00000	4.80402
0.00000	4.80354
0.00000	4.80499
0.00000	4.79903
0.00000	4.79903
0.00000	4.80128
0.00000	4.80290
0.00000	4.80000
0.00000	4.80515
0.00000	4.80000
0.00000	4.80290
0.00000	4.80370
0.00000	4.80515
0.00000	4.80145
0.00000	4.80451
0.00000	4.80145
0.00000	4.80563
0.00000	4.80370
0.00000	4.80612
0.00000	4.80128
0.00000	4.80000
0.00000	4.80128
0.00000	4.80515
0.00000	4.80096
0.00000	4.79951
0.00000	4.80016
0.00000	4.80128
0.00000	4.80000
0.00000	4.80338
0.00000	4.80628
0.00000	4.79887
0.00000	4.79919
0.00000	4.80531
0.00000	4.80612
0.00000	4.80386
0.00000	4.80402
0.00000	4.80547
0.00000	4.79742
0.00000	4.80016
0.00000	4.80016
0.00000	4.80225
0.00000	4.80193
0.00000	4.80000
0.00000	4.79903
0.00000	4.80467
0.00000	4.80612
0.00000	4.80322
0.00000	4.80112
0.00000	4.80257
0.00000	4.80386
0.00000	4.80225
0.00000	4.79484
0.00000	4.80563
0.00000	4.80644
0.00000	4.80177
0.00000	4.80032
0.00000	4.80257
0.00000	4.80016
0.00000	4.79919
0.00000	4.80096
0.00000	4.80338
0.00000	4.80563
0.00000	4.79871
0.00000	4.80580
0.00000	4.80290
0.00000	4.80467
0.00000	4.80402
0.00000	4.79983
0.00000	4.80096
0.00000	4.80193
0.00000	4.80257
0.00000	4.80547
0.00000	4.80306
0.00000	4.80209
0.00000	4.80354
0.00000	4.80257
0.00000	4.79839
0.00000	4.80354
0.00000	4.79677
0.00000	4.80000
0.00000	4.79806
0.00000	4.80628
0.00000	4.80241
0.00000	4.80161
0.00000	4.79903
0.00000	4.80483
0.00000	4.80096
0.00000	4.80080
0.00000	4.79887
0.00000	4.80435
0.00000	4.80257
0.00000	4.80257
0.00000	4.80128
0.00000	4.80290
0.00000	4.80145
0.00000	4.80016
0.00000	4.80241
0.00000	4.80241
0.00000	4.80580
0.00000	4.80241
0.00000	4.79742
0.00000	4.80241
0.00000	4.79903
0.00000	4.80290
0.00000	4.79710
0.00000	4.80096
0.00000	4.80257
0.00000	4.80386
0.00000	4.80193
0.00000	4.79935
0.00000	4.80644
0.00000	4.80161
0.00000	4.80499
0.00000	4.80418
0.00000	4.80112
0.00000	4.79967
0.00000	4.80789
0.00000	4.80483
0.00000	4.80563
0.00000	4.80016
0.00000	4.80451
0.00000	4.79919
0.00000	4.80451
0.00000	4.80048
0.00000	4.79726
0.00000	4.79855
0.00000	4.80273
0.00000	4.80628
0.00000	4.80048
0.00000	4.80467
0.00000	4.80145
0.00000	4.80451
0.00000	4.79516
0.00000	4.80048
0.00000	4.80273
0.00000	4.80612
0.00000	4.80515
0.00000	4.80418
0.00000	4.79565
0.00000	4.80257
0.00000	4.80547
0.00000	4.80177
0.00000	4.80032
0.00000	4.80161
0.00000	4.80000
0.00000	4.80644
0.00000	4.80128
0.00000	4.80048
0.00000	4.80016
0.00000	4.80451
0.00000	4.79822
0.00000	4.80596
0.00000	4.80145
0.00000	4.79983
0.00000	4.79855
0.00000	4.80290
0.00000	4.80418
0.00000	4.80563
0.00000	4.79597
0.00000	4.80145
0.00000	4.80096
0.00000	4.80483
0.00000	4.80064
0.00000	4.80402
0.00000	4.80161
0.00000	4.80290
0.00000	4.80338
0.00000	4.80112
0.00000	4.80370
0.00000	4.79887
0.00000	4.80402
0.00000	4.80193
0.00000	4.80386
0.00000	4.80048
0.00000	4.79887
0.00000	4.80145
0.00000	4.79951
0.00000	4.80402
0.00000	4.80112
0.00000	4.79774
0.00000	4.80177
0.00000	4.80596
0.00000	4.79919
0.00000	4.79726
0.00000	4.80628
0.00000	4.80499
0.00000	4.79967
0.00000	4.80209
0.00000	4.80306
0.00000	4.80773
0.00000	4.80048
0.00000	4.80080
0.00000	4.79790
0.00000	4.80531
0.00000	4.80418
0.00000	4.79935
0.00000	4.80354
0.00000	4.80402
0.00000	4.79855
0.00000	4.80499
0.00000	4.79855
0.00000	4.79919
0.00000	4.79758
0.00000	4.80338
0.00000	4.80660
0.00000	4.80435
0.00000	4.79919
0.00000	4.79629
0.00000	4.80451
0.00000	4.80435
0.00000	4.80306
0.00000	4.80515
0.00000	4.80547
0.00000	4.80451
0.00000	4.80225
0.00000	4.79983
0.00000	4.80451
0.00000	4.80515
0.00000	4.79887
0.00000	4.79839
0.00000	4.79935
0.00000	4.80435
0.00000	4.80628
0.00000	4.80467
0.00000	4.79839
0.00000	4.80370
0.00000	4.79903
0.00000	4.79983
0.00000	4.79855
0.00000	4.79983
0.00000	4.80032
0.00000	4.80515
0.00000	4.79661
0.00000	4.80032
0.00000	4.79661
0.00000	4.79967
0.00000	4.80161
0.00000	4.79790
0.00000	4.80596
0.00000	4.80177
0.00000	4.79822
0.00000	4.80902
0.00000	4.80547
0.00000	4.80467
0.00000	4.79613
0.00000	4.80451
0.00000	4.80370
0.00000	4.80708
0.00000	4.80161
0.00000	4.79710
0.00000	4.80418
0.00000	4.80402
0.00000	4.80338
0.00000	4.79822
0.00000	4.80145
0.00000	4.80338
0.00000	4.80483
0.00000	4.80048
0.00000	4.80257
0.00000	4.80418
0.00000	4.80596
0.00000	4.80435
0.00000	4.79677
0.00000	4.80225
0.00000	4.79774
0.00000	4.80338
0.00000	4.80112
0.00000	4.80338
0.00000	4.80000
0.00000	4.80016
0.00000	4.80273
0.00000	4.79903
0.00000	4.80306
0.00000	4.80531
0.00000	4.80241
0.00000	4.79774
0.00000	4.80209
0.00000	4.80370
0.00000	4.79919
0.00000	4.80241
0.00000	4.80483
0.00000	4.80177
0.00000	4.80483
0.00000	4.80112
0.00000	4.80257
0.00000	4.79887
0.00000	4.79661
0.00000	4.79710
0.00000	4.80660
0.00000	4.79774
0.00000	4.80145
0.00000	4.79903
0.00000	4.80209
0.00000	4.80515
0.00000	4.80096
0.00000	4.80563
0.00000	4.80547
0.00000	4.80145
0.00000	4.80032
0.00000	4.80241
0.00000	4.79951
0.00000	4.80483
0.00000	4.80531
0.00000	4.80402
0.00000	4.79806
0.00000	4.80112
0.00000	4.79887
0.00000	4.80273
0.00000	4.80580
0.00000	4.80435
0.00000	4.80032
0.00000	4.80048
0.00000	4.80000
0.00000	4.80515
0.00000	4.80193
0.00000	4.80322
0.00000	4.80386
0.00000	4.80128
0.00000	4.79935
0.00000	4.80338
0.00000	4.80177
0.00000	4.80644
0.00000	4.80290
0.00000	4.80096
0.00000	4.79919
0.00000	4.80064
0.00000	4.80177
0.00000	4.80531
0.00000	4.80338
